G,O,2287
O,D,2195
D,Q,1944
Q, ,7080
 ,Z,7279
Z,Q,2067
Q,O,2388
O,Y,1957
Y,M,2040
M,T,2071
T,M,2364
M,S,1575
S,F,2160
F,G,1964
G,Y,2171
Y,N,2270
N,U,1916
U,S,2132
S,S,1695
S, ,7230
 ,R,7233
R,F,2136
F,N,2152
N, ,7141
Z,L,1958
L,P,1859
P,L,1831
L,W,2146
W,K,2091
K,A,1925
A,X,2140
X,H,1950
H, ,6612
 ,L,6952
L,O,2260
O,H,2188
H,K,2008
K,U,1964
U, ,6854
 ,W,7262
W,F,1976
N,M,2071
M, ,7117
 ,N,7469
N,O,1694
O,W,1952
W, ,7148
 ,Y,7258
Y,J,2277
J,S,2546
S,C,1762
C,N,1806
N,L,2111
L, ,7373
 ,A,7164
A,Q,2120
O, ,7276
A,H,2103
H,G,2023
G,F,1894
F,S,2392
S,L,1933
L,Z,2128
Z,X,1588
X,N,1800
N,X,1887
X, ,7310
A,S,2163
C,X,1907
X,F,1806
Z,V,2131
V,V,2166
V,C,2082
X,Z,1744
Z,I,2089
I,S,1840
 ,V,7024
V,U,2214
U,J,1922
J,R,1813
R,X,1858
 ,O,7381
O,A,1999
A, ,7551
 ,I,6448
I,P,1992
P,T,1856
T,Y,2187
Y,F,2052
G,P,2024
P,K,2262
K,B,2148
B,K,2101
 ,Q,7785
Q,Y,1700
Y, ,6908
R,U,2198
 ,K,6298
K,S,2088
S,X,1924
X,Q,1987
Z,W,2083
W,P,1605
P,I,1899
I,Q,2039
Q,H,1883
H,L,1944
L,C,2075
C,Q,2012
Q,U,1958
U,T,1894
T,C,2057
C, ,7060
 ,M,6617
M,Y,2073
N,P,2200
P,Q,2090
Q,J,1477
J,D,2175
D,M,1952
M,V,1811
V,J,2131
J, ,6847
W,O,1913
O,T,2061
T,T,1867
T,F,1830
S,A,2150
Q,G,2244
F,T,1857
T,Z,1983
Z,E,1987
E,O,1950
 ,T,7248
T,N,2292
N,A,2369
A,Y,2205
Y,G,2035
G,G,1982
G,B,1889
B,J,2088
J,C,1750
C,D,1976
D,Z,2054
Z,B,2141
B,Y,2049
 ,B,6740
B,H,2135
H,O,1994
O,B,1768
B,X,2351
X,A,1919
 ,X,7053
X,I,1952
I,D,2128
M,A,1981
A,Z,2190
Z,H,2074
H,T,2193
W,T,2292
T,K,1955
K,I,2204
I,Y,1922
Y,U,2115
U,L,2316
L,M,2096
M,O,1745
O,N,2120
N,E,2079
E,K,2017
K,K,1871
K,V,1950
V, ,7341
 ,F,6830
F,X,2036
F,Q,1898
Q,X,1793
 ,C,7399
C,T,2124
T,B,2247
B,D,2073
D,V,2228
V,D,2347
D,Y,2145
Y,Q,1970
Q,V,2361
V,E,1842
E,E,2347
E, ,6975
Z,Z,2216
Z,A,2126
A,W,2055
O,L,2125
L,K,1886
K,H,1824
H,X,2399
L,A,2096
A,U,2364
U,W,1873
F, ,6944
 ,E,7086
E,H,1941
H,H,1733
H,V,2083
V,P,2055
P,V,2285
V,Q,1697
X,W,1945
W,C,2063
M,U,1939
T,W,2072
K,Q,1931
G,U,2011
U,K,2118
K, ,7181
X,R,2133
R,N,2186
N,R,2027
R, ,7460
 ,P,6575
P,E,1930
E,A,2093
A,N,2079
N,C,1974
C,W,1961
K,Y,1783
Y,D,2159
D,G,1736
T,U,2073
U,V,1765
P,W,2210
W,Q,1998
G,W,2029
W,G,1963
G,N,1910
N,W,1916
W,M,1958
W,U,1794
O,P,2239
P,Y,2057
Y,K,1984
K,M,1918
M,P,1832
H,U,2051
U,U,1883
U,E,2048
E,Y,2090
Y,C,2065
I,T,2036
K,L,1919
L,X,2176
R,S,2091
S,H,2113
H,I,2117
I,W,1737
W,B,1955
B,F,2446
F,D,2198
 ,D,7133
D,F,2255
F,F,1744
F,I,1669
I,G,1812
G, ,7087
 ,H,7562
H,Q,1890
Q,L,1978
L,H,2243
H,C,2085
C,S,2205
S,Z,2089
V,M,2286
M,Z,1961
Z, ,6789
J,J,1904
J,E,1918
E,G,2075
G,D,2189
D,J,2194
 ,U,6894
U,Q,2013
X,O,2189
O,F,2164
F,W,2031
W,X,1754
X,B,1715
B,G,1875
F,K,1884
K,C,1865
S,M,1872
C,B,2295
B,B,2179
D,K,2012
